---
pid: 30136
cwd: "C:\Users\93rob\Documents\GitHub\Vamp"
command: "cd \"C:\\Users\\93rob\\Documents\\GitHub\\Vamp\" && npx --yes serve . -l 3456"
started_at: 2026-06-17T02:33:48.042Z
running_for_ms: 935009   
---
 INFO  Accepting connections at http://localhost:3456
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/loop.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/input.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/camera.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/audio.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/data/artconstants.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/artbake.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/core/assets.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/world/world.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/world/props.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/world/decals.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/world/pathfinding.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/world/render.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/render/postfx.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/render/powervfx.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/data/gamedata.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/stats.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/blood.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/combat.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/skilltree.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/disciplines.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/powers.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/inventory.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/economy.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/haven.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/mastery.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/codex.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/reputation.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/legend.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/progress.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/domains.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/businesses.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/coterie.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/trophies.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 GET /js/systems/nemesis.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/legacy.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/masquerade.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/missions.js
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:56 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/events.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/quests.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/achievements.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/systems/save.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/entities/sprites.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/entities/projectile.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/entities/vehicle.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/entities/npc.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/entities/player.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/ui/fx.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/ui/hud.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/ui/menus.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/game.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /js/main.js
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/asphalt_wet.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/sidewalk.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/player_vampire.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/prop_lamp.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/prop_tree.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 7 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/vehicle_sedan.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 12 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/neon_sign.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/windows_sheet.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/title_bg.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/icon_celerity.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/discipline_icons.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/haven_bg.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/npc_civilian.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/projectile_blood.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 GET /assets/images/clan_emblems.jpg
 HTTP  6/16/2026 10:36:57 PM 127.0.0.1 Returned 200 in 2 ms
